trucks_count 15
drones_count 15
customers 1000
depot 0 0
Coordinate X         Coordinate Y         Dronable Demand
15175.489494528001   -24676.057067904     1        50.044529           
-31274.716695552     -24127.581367296     1        6.515352            
-1695.2041117439999  31780.076461056      1        1.770626            
-10757.106353664     -29240.79878016      1        55.133066           
22202.72708544       -15668.027616384     1        1.90338             
-25417.72968768      22994.963684352002   1        0.211143            
8957.172571776       14057.697088512      1        1.052053            
-24175.700752896     22238.533380096      1        50.437691           
-11572.927888896     16748.702112384002   1        1.983996            
-12452.664521088     18778.183066368      1        19.79342            
-9599.55188544       -28434.585028608     1        15.817092           
-28845.405490176003  -11510.911817856     1        1.460829            
-30366.874479744     13740.995892096      1        7.512906            
-11758.605952896001  -23511.0271968       1        0.20096             
-19844.725912703998  -5824.898297856      1        1.730645            
27097.405239168      26385.180395904      1        1.358318            
-6645.291979392      13348.645871616      1        54.659334           
-25340.262304896     -17313.519091968003  1        0.772254            
14026.255334783998   -4054.6021950720005  1        1.141087            
-27342.498674304     7059.546781056001    1        3.291132            
-13.78403136         -28305.517249152     1        0.331531            
7467.209709696001    5390.399558016       1        0.830614            
28479.326401152      -19429.003389312     1        1.090356            
-6814.005948288001   13285.162078848001   1        1.945981            
-12265.71185664      -17763.942290688003  1        1.119269            
22011.102495360003   21759.705259776      1        31.054628           
-6991.376578560001   22969.761357312      1        2.168042            
31971.552991488003   19871.753235840002   1        0.968639            
25366.163087232002   17841.245520384      1        0.213853            
15279.863499648001   -3046.9098401280003  1        1.174199            
20861.108725248      9368.602974720001    1        1.595642            
-12211.17118848      -15933.516268031999  1        55.172198           
-9970.375320576      20284.731827712      1        1.203159            
8590.905189504001    264.799852416        1        0.225926            
15133.960372608      -6093.140537088      1        1.221683            
-31493.111113728002  -30219.519724416     1        1.982903            
-18585.378827136003  7978.91833728        1        1.041169            
-23167.712278656003  16462.509250176      1        0.278085            
-7656.561906048      -20558.799892224     1        10.031041           
6280.672565376       -18275.76679104      1        32.120152           
-8140.675112064      -14868.714731904001  1        37.489412           
7322.746945536001    -8723.48133888       1        1.011994            
-23693.633023104     -16131.607202304001  1        1.333036            
-17299.360083456     12354.592707072      1        0.475895            
